altitude,latitude,longitude,velocity,heading,time
771.5,51.484165,-113.14287,0.0,28.0,09:25:21
775.5,51.48417666666667,-113.142855,0.0,28.0,09:26:07
771.6,51.48416666666667,-113.14278166666666,0.0,136.2,09:30:58
771.8,51.48416666666667,-113.14278166666666,0.0,136.2,09:31:05
771.4,51.48417333333333,-113.14279166666667,0.0,31.2,09:32:07
771.6,51.48417166666667,-113.14279666666667,1.6668,287.8,09:34:07
776.6,51.48419333333333,-113.1428,0.0,292.2,09:36:08
769.6,51.48418,-113.14280833333333,0.0,300.4,09:38:07
770.0,51.484168333333336,-113.142775,0.0,270.2,09:40:08
774.7,51.484175,-113.14281166666666,0.0,307.8,09:42:08
771.8,51.48416666666667,-113.14279333333333,1.852,285.8,09:44:07
772.6,51.48417166666667,-113.14279333333333,0.0,275.5,09:46:08
773.7,51.48416,-113.14278,0.0,292.8,09:48:07
772.2,51.48417,-113.142785,0.0,304.4,09:50:07
774.0,51.484181666666665,-113.14278166666666,1.6668,308.9,09:52:08
774.1,51.48416666666667,-113.142785,2.0372000000000003,296.6,09:54:07
770.5,51.48418,-113.14276333333333,1.6668,316.4,09:56:07
773.3,51.484185,-113.142755,1.852,330.4,09:58:08
773.1,51.48417333333333,-113.14273666666666,0.0,60.8,10:00:07
773.9,51.48417833333333,-113.14272,0.0,23.4,10:02:08
773.8,51.484165,-113.14272166666667,0.0,2.9,10:04:07
773.7,51.484168333333336,-113.14273,1.6668,38.2,10:06:07
776.1,51.484195,-113.14272833333334,1.6668,46.5,10:08:08
776.5,51.484185,-113.14272,2.0372000000000003,39.6,10:10:07
775.9,51.48417333333333,-113.14271,0.0,46.9,10:12:08
773.8,51.48417333333333,-113.14272333333334,1.852,2.5,10:14:08
774.6,51.48418,-113.142705,0.0,65.5,10:16:07
773.1,51.484185,-113.142725,1.6668,47.0,10:18:08
771.9,51.484168333333336,-113.142705,0.0,38.3,10:20:08
772.0,51.48417166666667,-113.14271166666667,1.4816000000000003,38.3,10:22:07
773.8,51.484188333333336,-113.14272,0.0,39.0,10:24:08
773.6,51.484163333333335,-113.14269833333333,0.0,25.0,10:26:07
770.8,51.48414833333333,-113.14271166666667,0.0,49.2,10:28:07
772.0,51.484156666666664,-113.14272166666667,1.4816000000000003,48.2,10:30:08
769.8,51.48414833333333,-113.14271666666667,0.0,52.9,10:32:07
773.2,51.48417666666667,-113.14272666666666,0.0,45.4,10:34:07
771.5,51.48417166666667,-113.14271833333333,2.2224,54.0,10:36:08
772.6,51.484161666666665,-113.14278166666666,0.0,19.2,10:38:07
771.1,51.48417,-113.14278833333333,0.0,30.8,10:40:08
773.1,51.484161666666665,-113.14279833333333,0.0,23.3,10:42:07
772.2,51.484168333333336,-113.14279,0.0,18.0,10:44:07
